iata,city_name,country_name,country_code,continent
2MU,Mouen,France,FR,Europe
2MU,Muggiano,Italy,IT,Europe
2MV,Malaville,France,FR,Europe
2MV,Mooresville,United States,US,North America
2MY,Moyenmoutier,France,FR,Europe
2MZ,Mezeriat,France,FR,Europe
2MZ,Murowanka,Poland,PL,Europe
2N2,St Geours d'Auribat,France,FR,Europe
2N2,Newton,United States,US,North America
2NB,Uruapan,Mexico,MX,North America
2NC,Hranice,Czechia,CZ,Europe
2NC,North Creek,United States,US,North America
2NG,Neuve-Eglise,France,FR,Europe
2NJ,Cibakhaza,Hungary,HU,Europe
2NK,Refsvindinge,Denmark,DK,Europe
2NL,Les Hermites,France,FR,Europe
2NM,Kergrist,France,FR,Europe
2NR,Neon Rysion,Greece,GR,Europe
2NT,Cimego,Italy,IT,Europe
2NV,Quincay,France,FR,Europe
2NZ,Buxerolles,France,FR,Europe
2OB,Ornbau,Germany,DE,Europe
2OC,Concagno,Italy,IT,Europe
2OE,Corsalone,Italy,IT,Europe
2OG,South Ogden,United States,US,North America
2OH,Owls Head,United States,US,North America
2OI,Saint-Pardoux-la-Riviere,France,FR,Europe
2OJ,Saint-Perdon,France,FR,Europe
2ON,Vernon,United States,US,North America
2OR,Orono,United States,US,North America
2OT,Boynton,United States,US,North America
2OV,Orange,United States,US,North America
2PA,Clearville,United States,US,North America
2PB,Port a Binson,France,FR,Europe
2PB,Petersboro,United States,US,North America
2PC,Pencran,France,FR,Europe
2PC,Platte City,United States,US,North America
2PD,Tauves,France,FR,Europe
2PE,Pedrignano,Italy,IT,Europe
2PH,Saint-Philibert,France,FR,Europe
2PI,Pietracuta,Italy,IT,Europe
2PM,Pomeroy,United States,US,North America
2PP,Edinburg,United States,US,North America
2PR,Pluwig,Germany,DE,Europe
2PS,Pouilly-sur-Saone,France,FR,Europe
2PU,Publier,France,FR,Europe
2PV,Pevy,France,FR,Europe
2PV,Pravisdomini,Italy,IT,Europe
2PV,Plantersville,United States,US,North America
2PY,Compeyre,France,FR,Europe
2QA,Saint-Michel-de-la-Roe,France,FR,Europe
2RD,Sainte-Radegonde,France,FR,Europe
2RE,Reaux,France,FR,Europe
2RG,Readington,United States,US,North America
2RJ,Conde-sur-l'Escaut,France,FR,Europe
2RK,Twin Rocks,United States,US,North America
2RO,Rodersheim,Germany,DE,Europe
2RP,Corpe,France,FR,Europe
2RU,Cussangy,France,FR,Europe
2RV,Riverside,United States,US,North America
2RY,Rouvroy,France,FR,Europe
2RZ,Rozet-Saint-Albin,France,FR,Europe
2S2,Satsuma,United States,US,North America
2SA,San Mauro Castelverde,Italy,IT,Europe
2SB,Soubes,France,FR,Europe
2SB,Stavenow,Germany,DE,Europe
2SB,Stantonsburg,United States,US,North America
2SC,Saint-Claude-de-Diray,France,FR,Europe
2SD,Satteldorf,Germany,DE,Europe
2SD,Soddy Daisy,United States,US,North America
2SE,La Alberquilla,Spain,ES,Europe
2SF,Saint-Fiacre,France,FR,Europe
2SF,Bandar Baru Bangi,Malaysia,MY,Asia
2SG,Silly-en-Gouffern,France,FR,Europe
2SH,Sag Harbor,United States,US,North America
2SI,Sinton,United States,US,North America
2SK,Stadt Kehl,Germany,DE,Europe
2SK,Sankt Olof,Sweden,SE,Europe
2SL,St. Louis,Canada,CA,North America
2SL,Shaver Lake,United States,US,North America
2SM,Candes-Saint-Martin,France,FR,Europe
2SM,San Manuel,United States,US,North America
2SN,Yarrawarrah,Australia,AU,Oceania
2SN,Vimines,France,FR,Europe
2SO,Solden,Germany,DE,Europe
2SP,Sperryville,United States,US,North America
2SR,Serres,France,FR,Europe
2SS,Saint-Symphorien,France,FR,Europe
2ST,Sinntal,Germany,DE,Europe
2SV,Saint-Savin,France,FR,Europe
2SV,Soveria Simeri,Italy,IT,Europe
2SV,Sciotoville,United States,US,North America
2TA,Calliano,Italy,IT,Europe
2TH,Thelus,France,FR,Europe
2TJ,Saint-Jean-Saint-Germain,France,FR,Europe
2TO,Wollert,Australia,AU,Oceania
2TO,Tours-sur-Meymont,France,FR,Europe
2TO,Clifford Township,United States,US,North America
2TR,Trieb,Germany,DE,Europe
2TT,Tartaras,France,FR,Europe
2TT,Rattstadt,Germany,DE,Europe
2TT,Trento,Italy,IT,Europe
2TT,Ametlla,Spain,ES,Europe
2TT,Cottrellville,United States,US,North America
2TX,New Colony,United States,US,North America
2UA,Woolooware,Australia,AU,Oceania
2UB,Chauchigny,France,FR,Europe
2UL,Le Pin,France,FR,Europe
2UO,Leran,France,FR,Europe
2V2,Rice,United States,US,North America
2VA,Vaux-Andigny,France,FR,Europe
2VA,Vallecillo,Spain,ES,Europe
2VC,Springvale South,Australia,AU,Oceania
2VC,Valverde,Italy,IT,Europe
2VE,Villars-et-Villenotte,France,FR,Europe
2VG,Vaugrigneuse,France,FR,Europe
2VL,Olizy-et-Violaine,France,FR,Europe
2VL,Val Liona,Italy,IT,Europe
2VL,Villoruela,Spain,ES,Europe
2VP,Villepreux,France,FR,Europe
2VV,Vinon-sur-Verdon,France,FR,Europe
2WA,Whitelaw,United States,US,North America
2WC,Klipheuwel,South Africa,ZA,Africa
2WC,Wales Center,United States,US,North America
2WE,Weihenstephan,Germany,DE,Europe
2WI,Wiesenbronn,Germany,DE,Europe
2WL,Walterville,United States,US,North America
2WM,Port William,United States,US,North America
2WS,Brooklyn,Australia,AU,Oceania
2WS,White Stone,United States,US,North America
2WV,Canvas,United States,US,North America
2WW,Wildersville,United States,US,North America
2WY,Weatherby,United States,US,North America
2X3,Corbola,Italy,IT,Europe
2XV,Chevrieres,France,FR,Europe
2YT,Lavoute-Chilhac,France,FR,Europe
2YY,Mayran,France,FR,Europe
2ZC,Saint-Bonnet-l'Enfantier,France,FR,Europe
2ZE,Zeneta,Spain,ES,Europe
2ZM,Saint-Jeannet,France,FR,Europe
2ZS,Mariapocs,Hungary,HU,Europe
2ZT,Saint-Michel-l'Ecluse-et-Leparon,France,FR,Europe
323,La Chapelle-Saint-Laud,France,FR,Europe
32B,Bollingstedt,Germany,DE,Europe
32E,Horgenzell,Germany,DE,Europe
32G,Mansencome,France,FR,Europe
32M,Meggett,United States,US,North America
32S,Seaford,Australia,AU,Oceania
335,Lecousse,France,FR,Europe
33C,Lindhorst bei Stadthagen,Germany,DE,Europe
33G,Plassac,France,FR,Europe
33S,Saint-Lye,France,FR,Europe
345,Goulais River,Canada,CA,North America
34B,Bolsberg,Germany,DE,Europe
34H,Magalas,France,FR,Europe
34H,Kuhardt,Germany,DE,Europe
34L,Early,United States,US,North America
34P,Puimisson,France,FR,Europe
35B,Bolschwitz,Germany,DE,Europe
35L,Saint-Jean-sur-Couesnon,France,FR,Europe
35P,Parigne,France,FR,Europe
35R,Montreuil-sur-Ille,France,FR,Europe
35V,Plerguer,France,FR,Europe
36B,Bolsdorf,Germany,DE,Europe
36S,Undingen (Sonnenbuhl),Germany,DE,Europe
36T,Wilhelmsthal,Germany,DE,Europe
37B,Bolsterlang,Germany,DE,Europe
37L,Les Cerqueux-de-Maulevrier,France,FR,Europe
38B,Bolz,Germany,DE,Europe
38X,Hungen-Inheiden,Germany,DE,Europe
398,Saint-Sulpice-le-Verdon,France,FR,Europe
399,Saint-Phyton,France,FR,Europe
39B,Bolzke,Germany,DE,Europe
39R,Rothonay,France,FR,Europe
3AA,Alling,Germany,DE,Europe
3AB,Almdorf,Germany,DE,Europe
3AC,Criquetot-sur-Longueville,France,FR,Europe
3AC,Alt Bennebek,Germany,DE,Europe
3AD,Alt Krenzlin,Germany,DE,Europe
3AE,Alt Rehse,Germany,DE,Europe
3AF,Alt Zachun,Germany,DE,Europe
3AF,Alief,United States,US,North America
3AG,Altenau Muhlberg,Germany,DE,Europe
3AH,Saint-Vallier-sur-Marne,France,FR,Europe
3AH,Altendambach,Germany,DE,Europe
3AI,Altenhof Schorfheide,Germany,DE,Europe
3AI,Atkinson,United States,US,North America
3AJ,Mantry,France,FR,Europe
3AJ,Altenroda,Germany,DE,Europe
3AK,Altes Lager,Germany,DE,Europe
3AL,Althornbach,Germany,DE,Europe
3AL,Ashland,United States,US,North America
3AM,Autreville-sur-Moselle,France,FR,Europe
3AM,Altlewin,Germany,DE,Europe
3AN,Alt-Schadow,Germany,DE,Europe
3AO,Altwittenbek,Germany,DE,Europe
3AP,Armsheim,Germany,DE,Europe
3AQ,Anderlingen,Germany,DE,Europe
3AR,Launois-sur-Vence,France,FR,Europe
3AR,Angersdorf,Germany,DE,Europe
3AR,Warm Springs,United States,US,North America
3AS,Anschau,Germany,DE,Europe
3AT,Appensee,Germany,DE,Europe
3AU,Brienne-le-Chateau,France,FR,Europe
3AU,Arenzhain,Germany,DE,Europe
3AV,Armstorf,Germany,DE,Europe
3AW,Arnstedt,Germany,DE,Europe
3AX,Arzfeld,Germany,DE,Europe
3AY,Aschbach (Irschenberg),Germany,DE,Europe
3AY,Williams Bay,United States,US,North America
3AZ,Assling,Germany,DE,Europe
3B4,Bockstadt,Germany,DE,Europe
3B6,Bockwitz,Germany,DE,Europe
3B7,Boddensell,Germany,DE,Europe
3B8,Boddin bei Pritzwalk,Germany,DE,Europe
3B9,Boddin bei Teterow,Germany,DE,Europe
3BA,Berumbur,Germany,DE,Europe
3BB,Beseritz,Germany,DE,Europe
3BB,Burkburnett,United States,US,North America
3BC,Baugy,France,FR,Europe
3BC,Bettendorf,Germany,DE,Europe
3BD,Beucha bei Wurzen,Germany,DE,Europe
3BD,Brownwood,United States,US,North America
3BE,Beuron,Germany,DE,Europe
3BF,Beyern,Germany,DE,Europe
3BG,Bichl bei Bad Tolz,Germany,DE,Europe
3BH,Biebelsheim,Germany,DE,Europe
3BI,Biederitz,Germany,DE,Europe
3BJ,Bienenbuttel,Germany,DE,Europe
3BJ,Bojano,Italy,IT,Europe
3BK,Billeben,Germany,DE,Europe
3BK,Brooks,United States,US,North America
3BL,Blum,United States,US,North America
3BN,Birkheim,Germany,DE,Europe
3BO,Birlenbach,Germany,DE,Europe
3BP,Bischheim,Germany,DE,Europe
3BR,Saint-Antonin-sur-Bayon,France,FR,Europe
3BR,Berry Creek,United States,US,North America
3BS,Blankenburg,Germany,DE,Europe
3BT,Blasdorf,Germany,DE,Europe
3BU,Bleicherode,Germany,DE,Europe
3BV,Brevans,France,FR,Europe
3BV,Bliederstedt,Germany,DE,Europe
3BW,Blindow,Germany,DE,Europe
3BX,Blumberg (Ahrensfelde bei Berlin),Germany,DE,Europe
3BY,Buchy,France,FR,Europe
3BY,Bluthen,Germany,DE,Europe
3C2,Albatarrech,Spain,ES,Europe
3CA,Casabona,Italy,IT,Europe
3CC,Courcais,France,FR,Europe
3CE,Vicquemare,France,FR,Europe
3CG,Bessan,France,FR,Europe
3CH,Champeix,France,FR,Europe
3CH,Christmas,United States,US,North America
3CI,Rythdale,Australia,AU,Oceania
3CL,Castillon,France,FR,Europe
3CL,Crescent Lake,United States,US,North America
3CM,Cumont,France,FR,Europe
3CO,Upwey,Australia,AU,Oceania
3CO,Cagno,Italy,IT,Europe
3CP,Camp Point,United States,US,North America
3CR,Chirens,France,FR,Europe
3CS,Chouze-sur-Loire,France,FR,Europe
3CS,Countryside,United States,US,North America
3CU,Curino,Italy,IT,Europe
3CV,Cleveland,United States,US,North America
3CY,Coyote,United States,US,North America
3DC,Westwood,United States,US,North America
3DD,Wittighausen,Germany,DE,Europe
3DF,Middlefield,United States,US,North America
3DL,Douglas,United States,US,North America
3DT,Dimmitt,United States,US,North America
3DU,Victor,United States,US,North America
3DV,Garatshausen,Germany,DE,Europe
3DV,Villette,Switzerland,CH,Europe
3DV,Ulupalakua,United States,US,North America
3DW,Dowling,United States,US,North America
3DX,Dixville Notch,United States,US,North America
3EG,Fresnes,France,FR,Europe
3EJ,Baroville,France,FR,Europe
3EO,Marigny-les-Usages,France,FR,Europe
3EV,Valeilles,France,FR,Europe
3EX,Essex,United States,US,North America
3EY,Essoyes,France,FR,Europe
3FA,Apremont,France,FR,Europe
3FC,Flines-lez-Raches,France,FR,Europe
3FL,Fleming,United States,US,North America
3FO,Fouzilhon,France,FR,Europe
3FR,Fairmont,United States,US,North America
3FY,Fayette,United States,US,North America
3G3,Lagorce,France,FR,Europe
3GG,Egling,Germany,DE,Europe
3GH,Coulonges-sur-Sarthe,France,FR,Europe
3GL,Eagle Mountain,United States,US,North America
3GR,Grane,France,FR,Europe
3GR,Greensboro,United States,US,North America
3GT,Good Thunder,United States,US,North America
3GV,Fontenoy-le-Chateau,France,FR,Europe
3GW,Gwinn,United States,US,North America
3GX,Bretteville-du-Grand-Caux,France,FR,Europe
3HH,Houston Heights,United States,US,North America
3HV,Chevy Chase Heights,United States,US,North America
3HW,Hallwood,United States,US,North America
3IN,Evensville,United States,US,North America
3IX,Ourville-en-Caux,France,FR,Europe
3IX,Roll,United States,US,North America
3JK,Arbaz,Switzerland,CH,Europe
3KO,Elko,United States,US,North America
3KR,Lerne,France,FR,Europe
3KR,Kavallarion,Greece,GR,Europe
3L4,Hoppegarten,Germany,DE,Europe
3LC,La Couture,France,FR,Europe
3LC,Loose Creek,United States,US,North America
3LD,Charmes,France,FR,Europe
3LE,Lehmen,Germany,DE,Europe
3LF,Elwood,United States,US,North America
3LM,Lake City,United States,US,North America
3LO,Louey,France,FR,Europe
3LP,Thoree-les-Pins,France,FR,Europe
3LR,La Romagne,France,FR,Europe
3LT,La Trinite-Porhoet,France,FR,Europe
3LT,Lillo,Spain,ES,Europe
3LU,Lusby,United States,US,North America
3LV,Millvale,United States,US,North America
3LW,Lake Wilson,United States,US,North America
3LX,Lexa,United States,US,North America
3LY,Luynes,France,FR,Europe
3LY,Oley,United States,US,North America
3LZ,Machova,Czechia,CZ,Europe
3M3,Muras,Spain,ES,Europe
3MD,Mondonville,France,FR,Europe
3MD,Medford,United States,US,North America
3ME,Bapeaume,France,FR,Europe
3MF,Monfort,France,FR,Europe
3MG,Montgomery,United States,US,North America
3MH,Maher,United States,US,North America
3MJ,Montrejeau,France,FR,Europe
3MN,Magne,France,FR,Europe
3MN,Minden,United States,US,North America
3MO,Montaut,France,FR,Europe
3MO,Mohall,United States,US,North America
3MR,Monterey,United States,US,North America
3MS,Massignieu-de-Rives,France,FR,Europe
3MT,Mettray,France,FR,Europe
3MT,Charlemont,United States,US,North America
3MU,Maurens,France,FR,Europe
3MV,Malvern,United States,US,North America
3NN,Winn,United States,US,North America
3NY,Nomeny,France,FR,Europe
3OB,Obererbach Kr Westerwaldkreis,Germany,DE,Europe
3OH,Cardington,United States,US,North America
3OL,Wellfleet,United States,US,North America
3OO,Woodlawn,United States,US,North America
3PA,Souraide,France,FR,Europe
3PA,Granville,United States,US,North America
3PL,Paradise,United States,US,North America
3PN,Piancogno,Italy,IT,Europe
3PZ,Panazol,France,FR,Europe
3QT,Saint-Quentin-du-Dropt,France,FR,Europe
3QW,Overgaard,United States,US,North America
3QZ,Lincoln University,United States,US,North America
3RO,La Roche-en-Brenil,France,FR,Europe
3RP,Cropsey,United States,US,North America
3RR,May-sur-Orne,France,FR,Europe
3RT,Rector,United States,US,North America
3SA,Auzat,France,FR,Europe
3SB,Steinbach,France,FR,Europe
3SB,Locara Di San Bonifacio,Italy,IT,Europe
3SB,Stinson Beach,United States,US,North America
3SC,Saint-Christophe-du-Luat,France,FR,Europe
3SD,Mabscott,United States,US,North America
3SE,Salem,United States,US,North America
3SF,Sandford,United States,US,North America
3SG,Sharpsburg,United States,US,North America
3SH,Theus,France,FR,Europe
3SJ,Saint-Jean-de-Serres,France,FR,Europe
3SJ,South Jamesport,United States,US,North America
3SL,Saint-Leon,France,FR,Europe
3SM,Saint-Martin-de-Laye,France,FR,Europe
3SM,Sudlersville,United States,US,North America
3SN,Sinceny,France,FR,Europe
3SP,Springdale,United States,US,North America
3SR,Saint-Clar-de-Riviere,France,FR,Europe
3SS,Saint-Sornin,France,FR,Europe
3SS,Guadassuar,Spain,ES,Europe
3ST,Stratford,United States,US,North America
3SV,Saint-Victor-de-Morestel,France,FR,Europe
3TF,Tiffin,United States,US,North America
3TH,Laasdorf,Germany,DE,Europe
3TH,Thompson,United States,US,North America
3TR,Trange,France,FR,Europe
3TR,Vineburg,United States,US,North America
3TT,Toronto,United States,US,North America
3TU,West Newton,United States,US,North America
3TW,Libertytown,United States,US,North America
3TX,West Lake Hills,United States,US,North America
3UM,Chens-sur-Leman,France,FR,Europe
