city,country,population,capital,average_temperature,continent,living_cost,travel_connectivity,safety,healthcare,education,economy,internet_access,outdoors,id
Madrid,Spain,6211000.0,1,28.7351145038168,Europe,6.2490000000000006,5.8555,7.7925,8.916333333333332,4.291500000000001,4.296,6.241,6.22,14
San Juan,Philippines,126347.0,1,23.75,Asia,5.98,1.38,5.121000000000001,4.363333333333333,0.0,0.0,4.273499999999999,5.3245000000000005,15
San Juan,United States,35463.0,1,23.75,North America,5.98,1.38,5.121000000000001,4.363333333333333,0.0,0.0,4.273499999999999,5.3245000000000005,16
San Juan,Argentina,471389.0,1,23.75,South America,5.98,1.38,5.121000000000001,4.363333333333333,0.0,0.0,4.273499999999999,5.3245000000000005,17
San Juan,Costa Rica,25866.0,1,23.75,North America,5.98,1.38,5.121000000000001,4.363333333333333,0.0,0.0,4.273499999999999,5.3245000000000005,18
San Juan,Dominican Republic,132177.0,1,23.75,North America,5.98,1.38,5.121000000000001,4.363333333333333,0.0,0.0,4.273499999999999,5.3245000000000005,19
San Juan,Trinidad and Tobago,13797.0,1,23.75,North America,5.98,1.38,5.121000000000001,4.363333333333333,0.0,0.0,4.273499999999999,5.3245000000000005,20
San Juan,Honduras,13405.0,1,23.75,North America,5.98,1.38,5.121000000000001,4.363333333333333,0.0,0.0,4.273499999999999,5.3245000000000005,21
Santo Domingo,Philippines,61092.0,1,27.04351145038168,Asia,8.076000000000002,1.003,5.779,5.026000000000001,0.5,6.1135,4.221,3.4175,22
Santo Domingo,Colombia,10759.0,1,27.04351145038168,South America,8.076000000000002,1.003,5.779,5.026000000000001,0.5,6.1135,4.221,3.4175,23
Santo Domingo,Costa Rica,40072.0,1,27.04351145038168,North America,8.076000000000002,1.003,5.779,5.026000000000001,0.5,6.1135,4.221,3.4175,24
Santo Domingo,Dominican Republic,1128678.0,1,27.04351145038168,North America,8.076000000000002,1.003,5.779,5.026000000000001,0.5,6.1135,4.221,3.4175,25
Santo Domingo,Cuba,46984.0,1,27.04351145038168,North America,8.076000000000002,1.003,5.779,5.026000000000001,0.5,6.1135,4.221,3.4175,26
Santo Domingo,Nicaragua,12182.0,1,27.04351145038168,North America,8.076000000000002,1.003,5.779,5.026000000000001,0.5,6.1135,4.221,3.4175,27
Victoria,Philippines,69370.0,1,27.78702290076336,Asia,5.703,1.4945,7.808000000000001,7.693,5.3815,5.8405000000000005,6.194999999999999,4.3555,28
Victoria,United States,65656.0,1,27.78702290076336,North America,5.703,1.4945,7.808000000000001,7.693,5.3815,5.8405000000000005,6.194999999999999,4.3555,29
Victoria,Argentina,30623.0,1,27.78702290076336,South America,5.703,1.4945,7.808000000000001,7.693,5.3815,5.8405000000000005,6.194999999999999,4.3555,30
Victoria,Canada,363222.0,1,27.78702290076336,North America,5.703,1.4945,7.808000000000001,7.693,5.3815,5.8405000000000005,6.194999999999999,4.3555,31
Victoria,Chile,34890.0,1,27.78702290076336,South America,5.703,1.4945,7.808000000000001,7.693,5.3815,5.8405000000000005,6.194999999999999,4.3555,32
Victoria,El Salvador,12626.0,1,27.78702290076336,North America,5.703,1.4945,7.808000000000001,7.693,5.3815,5.8405000000000005,6.194999999999999,4.3555,33
Victoria,Malta,6901.0,1,27.78702290076336,Europe,5.703,1.4945,7.808000000000001,7.693,5.3815,5.8405000000000005,6.194999999999999,4.3555,34
Victoria,Seychelles,24701.0,1,27.78702290076336,Africa,5.703,1.4945,7.808000000000001,7.693,5.3815,5.8405000000000005,6.194999999999999,4.3555,35
Sao Paulo,Brazil,23086000.0,1,17.9,South America,7.823000000000001,2.2655,5.2955,5.371999999999999,1.104,2.187,3.3895000000000004,7.0775,36
Buenos Aires,Brazil,12808.0,1,10.70381679389313,South America,7.763999999999999,3.77,6.0395,6.978999999999998,1.422,2.884,1.5275,4.535500000000001,37
Buenos Aires,Argentina,16710000.0,1,10.70381679389313,South America,7.763999999999999,3.77,6.0395,6.978999999999998,1.422,2.884,1.5275,4.535500000000001,38
Buenos Aires,Colombia,35197.0,1,10.70381679389313,South America,7.763999999999999,3.77,6.0395,6.978999999999998,1.422,2.884,1.5275,4.535500000000001,39
Buenos Aires,Costa Rica,29454.0,1,10.70381679389313,North America,7.763999999999999,3.77,6.0395,6.978999999999998,1.422,2.884,1.5275,4.535500000000001,40
Mexico City,Mexico,21804000.0,1,16.3,North America,9.244,2.87,5.464000000000001,6.379999999999999,1.713,3.5005,5.8405000000000005,3.914,41
San Salvador,Mexico,28637.0,1,23.383076923076924,North America,7.7429999999999986,1.0595,5.4025,5.558666666666666,0.0,2.6590000000000003,1.831,1.9175,42
San Salvador,Argentina,12733.0,1,23.383076923076924,South America,7.7429999999999986,1.0595,5.4025,5.558666666666666,0.0,2.6590000000000003,1.831,1.9175,43
San Salvador,El Salvador,316090.0,1,23.383076923076924,North America,7.7429999999999986,1.0595,5.4025,5.558666666666666,0.0,2.6590000000000003,1.831,1.9175,44
Cairo,Egypt,20296000.0,1,36.11984732824428,Africa,10.0,3.7575,6.791,4.041,0.5,2.978,2.405,0.5,45
Cairo,United States,10091.0,1,36.11984732824428,North America,10.0,3.7575,6.791,4.041,0.5,2.978,2.405,0.5,46
New York,United States,18908608.0,1,26.1,North America,2.342,6.675,7.022,6.105333333333332,8.0935,6.5145,7.0985,5.7475,47
Moscow,United States,25616.0,1,23.79015151515152,North America,8.099,9.0545,7.478,4.763,4.5725,3.148,6.571,5.090000000000002,48
Moscow,Russia,17332000.0,1,23.79015151515152,Asia,8.099,9.0545,7.478,4.763,4.5725,3.148,6.571,5.090000000000002,49
London,United States,10316.0,1,19.955384615384613,North America,3.94,9.4025,7.243500000000001,8.017999999999999,9.027,5.438,5.8455,5.374499999999999,50
London,United Kingdom,11262000.0,1,19.955384615384613,Europe,3.94,9.4025,7.243500000000001,8.017999999999999,9.027,5.438,5.8455,5.374499999999999,51
London,Canada,423369.0,1,19.955384615384613,North America,3.94,9.4025,7.243500000000001,8.017999999999999,9.027,5.438,5.8455,5.374499999999999,52
Paris,United States,24574.0,1,22.0219696969697,North America,3.664,10.0,6.2465,8.207666666666666,7.085,4.2045,9.716,4.433,53
